,n_estimators,max_leaf_nodes,max_features,train_size,train_time,test_time,train_score,test_score
461,3,12,80,26966,0.592868,0.0400480000001,0.419206906981,0.415827107215
462,13,3,83,5,0.00692600000002,0.0866080000001,0.120784699097,0.531071327538
463,7,5,130,5,0.00261399999999,0.058082,0.285131277997,0.592086100194
464,4,6,16,1,0.00151500000015,0.0332350000001,0.0,0.626629650695
465,11,2,1,292,0.00434500000006,0.0649110000002,0.534743461794,0.535397723929
466,45,2,4,365,0.0165569999999,0.261297,0.544884107354,0.526689376992
467,3,2,33,488,0.00255300000003,0.0294759999999,0.522984734042,0.503404823671
468,20,2,17,4750,0.0685179999998,0.115212,0.516500549182,0.513115716094
469,1,2,5,9,0.000577999999905,0.020683,0.741827298654,0.554615165665
470,5,11,1,192,0.00389799999994,0.0591380000001,0.452272817417,0.522508611271
471,36,2,40,5789,0.212968,0.196037,0.489692318603,0.497612222493
472,1,6,5,1954,0.00385200000005,0.0224109999999,0.525257166572,0.528221239232
473,11,17,9,19,0.00771200000008,0.0969190000001,0.251795953581,0.589023268882
474,3,7,51,2318,0.0238870000001,0.0375280000001,0.43505387424,0.448682198233
475,2,2,3,1902,0.00284699999997,0.024999,0.553223541361,0.536829261392
476,2,4,3,7392,0.013211,0.027552,0.53295838553,0.52949708834
477,26,4,35,1228,0.034044,0.183246,0.466208232017,0.465673447817
478,17,4,7,11738,0.119496,0.114596,0.497912271206,0.501452246976
479,1,17,12,3995,0.011225,0.030577,0.464643562225,0.466317388526
480,2,6,3,2,0.000954999999976,0.024392,0.438799479902,0.607326153887
481,1,2,3,43,0.000595999999859,0.02063,0.446533423283,0.548866292145
482,5,2,26,5,0.00192799999991,0.038456,0.143721342095,0.68569707304
483,8,2,3,13866,0.039996,0.059812,0.536868305642,0.533388180918
484,7,7,4,1,0.00438600000007,0.0461130000001,0.0,0.551406286939
485,1,5,2,43,0.000980000000027,0.0244819999998,0.524520625615,0.626158385033
486,27,3,5,2209,0.018433,0.155853,0.519269308427,0.524591234524
487,1,5,20,75,0.000708999999915,0.0248979999999,0.385485278363,0.51091624277
488,24,3,1,19987,0.0825089999998,0.136098,0.533947855349,0.532451144124
489,66,4,42,18,0.0399009999999,0.456954,0.322959366015,0.557395389123
490,2,18,43,39,0.00117999999998,0.029,0.306559004664,0.586630532665
491,1,3,11,20,0.00103200000012,0.0256689999999,0.423894082903,0.646769787208
492,78,3,144,2789,0.513869,0.442409,0.456748817946,0.469515243382
493,2,9,1,26790,0.0356839999999,0.0290790000001,0.53054040141,0.528982581642
494,29,6,13,42,0.010284,0.208673,0.307465240254,0.507916363295
495,11,4,116,22293,1.182467,0.106219,0.462431935053,0.466531207576
496,1,3,3,10,0.000585000000001,0.0228730000001,0.915271314637,1.21013979802
497,9,7,79,264,0.01079,0.0709380000001,0.378669961197,0.46534220075
498,4,9,50,1,0.00263300000006,0.0430510000001,0.0,0.570428714018
499,13,5,150,1527,0.115604,0.097246,0.4423427767,0.450636940715
500,87,2,14,80,0.030195,0.493794,0.415535875487,0.523608349893
501,4,4,40,894,0.00741999999991,0.046476,0.493319857346,0.489165443128
502,2,5,3,13257,0.0222220000001,0.027077,0.532407460905,0.524937080716
503,27,10,132,16,0.0203739999999,0.218734,0.231472998246,0.554668088041
504,21,6,10,569,0.0120959999999,0.144468,0.447779230341,0.480114190224
505,37,3,107,16,0.0139059999999,0.213579,0.314662582553,0.61579506035
506,1,3,5,98,0.00070299999993,0.02079,0.481959817455,0.556750903575
507,1,5,6,583,0.00141700000017,0.0227260000001,0.5268313738,0.53479564189
508,2,17,10,115,0.00133499999993,0.0294260000001,0.386563376471,0.520214989506
509,36,11,1,142,0.0128520000001,0.227002,0.441569996359,0.511898301382
510,7,2,81,6,0.00458800000001,0.050019,0.302540050288,0.576213133096
511,5,4,7,17356,0.0500529999999,0.0466190000002,0.508341543031,0.50460798846
512,1,7,67,3694,0.02169,0.0283159999999,0.453166639337,0.459711169934
513,3,2,9,31,0.00215000000003,0.0319509999999,0.447663483985,0.542363415871
514,1,17,8,17722,0.0363110000001,0.0229419999998,0.452005920669,0.455583110318
515,4,2,1,6697,0.00765999999999,0.036331,0.530882427977,0.530048507245
516,90,11,18,30,0.03189,0.600458,0.213180598908,0.523742720296
517,41,4,15,1,0.0139769999998,0.179765,4.4408920985e-15,0.53911254717
518,33,14,57,3,0.011013,0.17739,0.179189019655,0.530670305789
519,89,3,2,8,0.0281309999998,0.479025,0.221937603819,0.575196185672
520,79,4,25,3,0.0271249999998,0.405879,0.199038512453,0.550527031334
521,5,6,56,17006,0.216845,0.0431820000001,0.45036076986,0.454090047632
522,18,11,49,2548,0.0917490000002,0.128214,0.412361931268,0.423840353121
523,38,11,1,2,0.012536,0.184122,0.051191222525,0.855010927773
