work,start,end,duration
work,2015-06-30 23:49:05,2015-07-01 00:49:00,59.916666666666664
work,2015-07-01 09:54:42,2015-07-01 10:55:00,60.3
work,2015-07-01 11:00:00,2015-07-01 12:00:00,60.0
work,2015-07-01 13:07:47,2015-07-01 14:08:00,60.21666666666667
work,2015-07-01 14:13:00,2015-07-01 15:13:00,60.0
work,2015-07-01 15:36:14,2015-07-01 16:36:00,59.766666666666666
work,2015-07-01 16:41:00,2015-07-01 17:41:00,60.0
work,2015-07-01 18:27:36,2015-07-01 19:28:00,60.4
work,2015-07-02 10:56:46,2015-07-02 11:57:00,60.233333333333334
work,2015-07-02 13:23:27,2015-07-02 14:23:00,59.55
work,2015-07-02 14:28:00,2015-07-02 15:28:00,60.0
work,2015-07-02 15:36:22,2015-07-02 16:36:00,59.63333333333333
work,2015-07-02 16:46:20,2015-07-02 17:46:00,59.666666666666664
work,2015-07-04 16:33:21,2015-07-04 17:33:00,59.65
work,2015-07-04 17:40:33,2015-07-04 18:41:00,60.45
work,2015-07-04 18:56:20,2015-07-04 19:56:00,59.666666666666664
work,2015-07-04 20:02:32,2015-07-04 21:03:00,60.46666666666667
work,2015-07-04 21:14:10,2015-07-04 22:14:00,59.833333333333336
work,2015-07-05 14:02:00,2015-07-05 15:02:00,60.0
work,2015-07-05 15:07:00,2015-07-05 16:07:00,60.0
work,2015-07-05 16:22:09,2015-07-05 17:22:00,59.85
work,2015-07-05 18:05:00,2015-07-05 18:58:26,53.43333333333333
work,2015-07-13 15:32:01,2015-07-13 16:32:04,60.05
work,2015-07-13 16:37:00,2015-07-13 17:37:03,60.05
work,2015-07-13 17:42:00,2015-07-13 18:42:03,60.05
work,2015-07-13 20:47:02,2015-07-13 21:47:05,60.05
work,2015-07-13 22:45:08,2015-07-13 23:45:11,60.05
work,2015-07-13 23:56:20,2015-07-14 00:56:23,60.05
work,2015-07-16 14:25:01,2015-07-16 15:25:04,60.05
work,2015-07-16 15:30:00,2015-07-16 16:30:03,60.05
work,2015-07-16 17:44:04,2015-07-16 18:14:00,29.933333333333334
work,2015-07-16 18:19:00,2015-07-16 18:49:00,30.0
work,2015-07-16 18:54:00,2015-07-16 19:24:00,30.0
work,start,end,duration
